machine_id,machine_name,line_id,temperature,vibration,pressure,power_consumption,production_rate,defect_rate,machine_status,maintenance_status,downstream_delay,step,timestamp
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.12,1.148,101.68,18.78,1184.4,0.161,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,45.05,1.484,102.99,21.74,1187.0,0.523,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.03,1.256,100.73,19.24,1403.0,0.271,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M04,Machine C - Quality Inspection,LINE-2,40.35,0.998,97.91,13.8,1389.8,0.195,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M05,Machine D - Packaging Unit,LINE-2,37.83,0.882,95.27,12.61,1353.3,0.313,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M06,Machine E - Material Transfer,LINE-2,39.86,1.08,98.74,14.76,1354.9,0.334,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.95,1.358,101.59,21.2,1325.9,0.616,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M08,Machine G - Finishing Station,LINE-3,40.73,1.012,97.56,16.07,1307.0,0.407,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M09,Machine H - Final Inspection,LINE-3,40.27,0.803,96.14,13.19,1268.3,0.19,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.81,0.668,93.86,11.45,1243.1,0.329,HEALTHY,OK,0.0,0,2026-09-10T10:00:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,41.33,1.183,101.38,18.68,1205.7,0.224,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.86,1.477,103.43,21.94,1169.8,0.466,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M03,Machine B2 - Assembly Line 2,LINE-2,41.63,1.225,100.57,19.71,1396.6,0.305,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M04,Machine C - Quality Inspection,LINE-2,40.25,0.985,98.23,13.8,1377.1,0.189,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M05,Machine D - Packaging Unit,LINE-2,37.52,0.924,94.77,12.5,1353.8,0.313,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M06,Machine E - Material Transfer,LINE-2,39.27,1.095,98.79,14.98,1336.5,0.257,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.47,1.35,102.2,20.73,1317.0,0.639,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M08,Machine G - Finishing Station,LINE-3,40.86,1.037,97.03,15.94,1292.4,0.39,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M09,Machine H - Final Inspection,LINE-3,40.34,0.714,96.22,13.07,1275.2,0.157,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M10,Machine I - Dispatch / Palletizing,LINE-3,37.03,0.674,94.12,11.01,1262.8,0.293,HEALTHY,OK,0.0,1,2026-09-10T10:00:30Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,41.59,1.209,101.41,18.91,1206.7,0.211,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,45.59,1.441,102.68,21.72,1176.9,0.459,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.25,1.189,99.76,19.2,1402.5,0.325,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M04,Machine C - Quality Inspection,LINE-2,40.8,1.146,98.21,13.7,1362.9,0.208,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M05,Machine D - Packaging Unit,LINE-2,37.67,0.879,94.69,12.46,1358.5,0.305,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M06,Machine E - Material Transfer,LINE-2,38.94,1.048,98.16,14.85,1349.6,0.353,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,44.05,1.449,101.75,20.64,1312.3,0.578,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M08,Machine G - Finishing Station,LINE-3,41.85,0.959,97.92,15.73,1307.5,0.412,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M09,Machine H - Final Inspection,LINE-3,39.94,0.798,95.67,13.13,1276.4,0.163,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.49,0.709,94.79,11.05,1249.1,0.309,HEALTHY,OK,0.0,2,2026-09-10T10:01:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.52,1.211,101.09,18.83,1203.4,0.246,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,45.07,1.439,102.32,22.5,1193.8,0.495,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M03,Machine B2 - Assembly Line 2,LINE-2,41.85,1.273,99.95,19.23,1405.1,0.288,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M04,Machine C - Quality Inspection,LINE-2,40.0,0.992,98.17,14.42,1380.7,0.219,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
